a0;0.330513;-0.105381;9.527388
a1;0.323328;-0.112566;10.023157
a2;0.890947;-0.308958;6.852151
g0;-0.042501;0.003464;0.003464
g1;-0.025447;-0.016121;-0.000666
g2;-0.011058;0.008793;-0.001865
am;0.428708;1.975891;8.703501
gm;-1.142865;-0.215303;-0.155215
f;37.763950;14.355162;-6.376883
a0;0.402363;-0.100591;9.472302
a1;0.270637;-0.136516;10.075848
a2;0.859812;-0.308958;6.914422
g0;-0.041835;0.002132;0.000933
g1;-0.027313;-0.013590;-0.002665
g2;-0.007861;0.005063;-0.004130
am;0.344883;-0.158071;8.802495
gm;-0.041568;0.000266;-0.001332
f;2.385285;-0.745999;87.445923
a0;0.438289;-0.174836;9.527388
a1;0.332908;-0.143701;10.051897
a2;0.857417;-0.277822;6.840176
g0;-0.040769;0.000400;0.001332
g1;-0.027446;-0.015588;-0.001199
g2;-0.009992;0.004397;-0.003997
am;0.404758;-0.136516;8.874347
gm;-0.039836;0.000799;-0.001599
f;2.323643;-0.802185;87.462090
a0;0.395178;-0.143701;9.501042
a1;0.320933;-0.134121;10.090218
a2;0.816702;-0.323328;6.876101
g0;-0.037571;-0.003464;0.001199
g1;-0.024914;-0.013190;-0.003198
g2;-0.008927;0.004397;-0.003464
am;0.402363;-0.100591;8.820857
gm;-0.041835;0.002132;0.000933
f;2.381142;-0.817830;87.418518
a0;0.421523;-0.138911;9.503437
a1;0.337698;-0.100591;10.114167
a2;0.857417;-0.253872;6.842571
g0;-0.039703;0.001599;0.001998
g1;-0.026513;-0.016254;-0.003064
g2;-0.011458;0.008927;-0.003997
am;0.438289;-0.174836;8.806487
gm;-0.040769;0.000400;0.001332
f;2.427227;-0.784800;87.396416
a0;0.361648;-0.117356;9.539363
a1;0.270637;-0.117356;10.097403
a2;0.881367;-0.270637;6.871311
g0;-0.039836;0.003064;0.001732
g1;-0.026780;-0.016121;0.000000
g2;-0.009593;-0.000666;-0.004663
am;0.395178;-0.143701;8.822453
gm;-0.037571;-0.003464;0.001199
f;2.478893;-0.854709;87.304779
a0;0.328118;-0.083826;9.551338
a1;0.268242;-0.040715;10.078242
a2;0.876577;-0.234712;6.871311
g0;-0.042901;0.003730;0.000666
g1;-0.027712;-0.012924;-0.002531
g2;-0.008260;0.003597;-0.004930
